Ano;RentabilidadeNominal;Inflacao;JurosReal;JurosReal100;Indicadores
2023;8,03;4,62;0,03259415026;3,259415026;Poupanca
2022;7,89;5,79;0,01985064751;1,985064751;Poupanca
2021;2,94;10,06;-0,06469198619;-6,469198619;Poupanca
2020;2,11;4,52;-0,02305778798;-2,305778798;Poupanca
2019;4,26;4,31;-0,0004793404276;-0,04793404276;Poupanca
2018;4,62;3,75;0,008385542169;0,8385542169;Poupanca
2017;6,61;2,95;0,03555123847;3,555123847;Poupanca
2016;8,3;6,29;0,0189105278;1,89105278;Poupanca
2015;8,15;10,67;-0,02277039848;-2,277039848;Poupanca
2014;7,16;6,41;0,007048209755;0,7048209755;Poupanca
2013;6,37;5,91;0,004343310358;0,4343310358;Poupanca
2023;3,71;4,62;-0,00869814567;-0,869814567;INPC
2022;5,93;5,79;0,001323376501;0,1323376501;INPC
2021;10,16;10,06;0,0009085953116;0,09085953116;INPC
2020;5,45;4,52;0,008897818599;0,8897818599;INPC
2019;4,48;4,31;0,001629757454;0,1629757454;INPC
2018;3,43;3,75;-0,003084337349;-0,3084337349;INPC
2017;2,07;2,95;-0,008547838757;-0,8547838757;INPC
2016;6,58;6,29;0,0027283846;0,27283846;INPC
2015;11,28;10,67;0,005511882172;0,5511882172;INPC
2014;6,23;6,41;-0,001691570341;-0,1691570341;INPC
2013;5,56;5,91;-0,003304692664;-0,3304692664;INPC
